,Season,Team,Win,Draw,Loss,GF,GA,Points,GD
153,2021/2022,Liverpool,28,8,2,94.0,26.0,92,68.0
148,2021/2022,Chelsea,21,11,6,76.0,33.0,74,43.0
159,2021/2022,Tottenham,22,5,11,69.0,40.0,71,29.0
143,2021/2022,Arsenal,22,3,13,61.0,48.0,69,13.0
155,2021/2022,Man United,16,10,12,57.0,57.0,58,0.0
161,2021/2022,West Ham,16,8,14,60.0,51.0,56,9.0
152,2021/2022,Leicester,14,10,14,62.0,59.0,52,3.0
146,2021/2022,Brighton,12,15,11,42.0,44.0,51,-2.0
162,2021/2022,Wolves,15,6,17,38.0,43.0,51,-5.0
156,2021/2022,Newcastle,13,10,15,44.0,62.0,49,-18.0
149,2021/2022,Crystal Palace,11,15,12,50.0,46.0,48,4.0
145,2021/2022,Brentford,13,7,18,48.0,56.0,46,-8.0
144,2021/2022,Aston Villa,13,6,19,52.0,54.0,45,-2.0
158,2021/2022,Southampton,9,13,16,43.0,67.0,40,-24.0
150,2021/2022,Everton,11,6,21,43.0,66.0,39,-23.0
151,2021/2022,Leeds,9,11,18,42.0,79.0,38,-37.0
147,2021/2022,Burnley,7,14,17,34.0,53.0,35,-19.0
160,2021/2022,Watford,6,5,27,34.0,77.0,23,-43.0
157,2021/2022,Norwich,5,7,26,23.0,84.0,22,-61.0
174,2024/2025,Liverpool,23,7,2,74.0,31.0,76,43.0
163,2024/2025,Arsenal,17,12,3,57.0,27.0,63,30.0
178,2024/2025,Nott'm Forest,17,6,9,51.0,38.0,57,13.0
177,2024/2025,Newcastle,17,5,9,56.0,40.0,56,16.0
175,2024/2025,Man City,16,7,9,62.0,42.0,55,20.0
164,2024/2025,Aston Villa,15,9,8,49.0,46.0,54,3.0
168,2024/2025,Chelsea,15,9,8,56.0,39.0,54,17.0
165,2024/2025,Bournemouth,13,9,10,52.0,40.0,48,12.0
167,2024/2025,Brighton,12,12,8,51.0,49.0,48,2.0
171,2024/2025,Fulham,13,9,10,47.0,43.0,48,4.0
166,2024/2025,Brentford,12,7,13,52.0,48.0,43,4.0
169,2024/2025,Crystal Palace,11,10,10,41.0,40.0,43,1.0
170,2024/2025,Everton,8,14,10,34.0,38.0,38,-4.0
176,2024/2025,Man United,10,8,14,38.0,45.0,38,-7.0
180,2024/2025,Tottenham,11,4,17,60.0,49.0,37,11.0
181,2024/2025,West Ham,9,8,15,36.0,54.0,35,-18.0
182,2024/2025,Wolves,10,5,17,47.0,61.0,35,-14.0
172,2024/2025,Ipswich,4,9,19,33.0,67.0,21,-34.0
173,2024/2025,Leicester,4,6,22,27.0,72.0,18,-45.0
179,2024/2025,Southampton,2,4,26,23.0,77.0,10,-54.0
